rank,company,founded,employees,score,ceo,state,hq,industry
223,Amway,1959,>1000,70.94,Milind Pant,United States,Ada,"Engineering, Manufacturing"
224,AbbVie,2013,>1000,70.86,Robert A. Michael,United States,North Chicago,Drugs & Biotechnology
225,Stellantis,2021,>1000,70.67,Carlos Tavares,Netherlands,Hoofddorp,Automotive (Automotive and Suppliers)
226,TOA,1924,>1000,70.57,Kazuhiro Takeuchi,Japan,Tokyo,"Construction, Oil & Gas Operations, Mining and Chemicals"
227,Gucci,1921,>1000,70.5,Marco Bizzarri,Italy,Secaucus,"Clothing, Shoes, Sports Equipment"
228,EXL,1999,>1000,70.38,Rohit Kapoor,United States,New York,"IT, Internet, Software & Services"
229,Collabera Digital,1991,>1000,70.2,Kaushik Sarkar,United States,Parsippany,"IT, Internet, Software & Services"
230,Mondelez,2012,>1000,70.16,Dirk Van De Put,United States,Chicago,Packaged Goods
231,DKSH,1865,>1000,70.14,Stefan Butz,Switzerland,Zürich,Business Services & Supplies
232,Warner Bros. Discovery (WBD),2022,>1000,70.13,David Zaslav,United States,Burbank,Media & Advertising
233,SAS Institute,1976,>1000,70.1,Dr. Jim Goodnight,United States,Cary,"IT, Internet, Software & Services"
234,LG,1958,>1000,69.99,Mo Koo Kwang,South Korea,Seoul,Conglomerate
235,Koito Manufacturing,1915,>1000,69.96,Masahiro Otake,Japan,Yokohama,Automotive (Automotive and Suppliers)
236,Pfizer,1849,>1000,69.95,Albert Bourla,United States,New York,Drugs & Biotechnology
237,Volkswagen,1937,>1000,69.94,Oliver Blume,Germany,Herndon,Automotive (Automotive and Suppliers)
238,Technopro,1996,>1000,69.92,Takeshi Yagi,Japan,Tokyo,"IT, Internet, Software & Services"
239,Yum! Brands,1997,>1000,69.92,David Gibbs,United States,Louisville,"Food, Soft Beverages, Alcohol & Tobacco (including Agriculture Production)"
240,Sysmex,1968,>1000,69.84,Dan Zortman,Japan,Tokyo,Health Care Equipment & Services
241,J&T EXPRESS,2015,>1000,69.81,Jet Lee,Indonesia,Jakarta,Transportation and Logistics
242,Nielsen,1923,>1000,69.77,David Kenny,United Kingdom,Oxford,Business Services & Supplies
243,Halliburton,1919,>1000,69.77,Jeff Miller,United States,Houston,"Construction, Oil & Gas Operations, Mining and Chemicals"
244,Murata Manufacturing,1944,>1000,69.76,Tsuneo Murata,Japan,Tokyo,"Engineering, Manufacturing"
245,NU Skin Enterprises,1984,>1000,69.65,Ryan Napierski,United States,Provo,Retail and Wholesale
246,Qualcomm,1985,>1000,69.5,Cristiano Amon,United States,San Diego,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
247,Novartis,1996,>1000,69.44,Vasant Narasimhan,Switzerland,Basel,Drugs & Biotechnology
248,Airbus,1970,>1000,69.41,Guillaume Faury,Netherlands,Leiden,Aerospace & Defense
249,Home Credit,1997,>1000,69.31,Ondrej Kubik,Netherlands,Prague,Banking and Financial Services
250,Autodesk,1982,>1000,69.27,Andrew Anagnost,United States,San Rafael,"IT, Internet, Software & Services"
251,Western Digital,1970,>1000,69.19,David Goeckeler,United States,San Jose,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
252,HL Mando,1962,>1000,69.04,Seong-Hyeon Cho,South Korea,Seongnam-si,Automotive (Automotive and Suppliers)
253,AEON,1758,>1000,68.94,Keiji Ohno,Japan,Tokyo,Retail and Wholesale
254,KT,1981,>1000,68.91,Kim Young Shub,South Korea,Seoul,"Telecommunications Services, Cable Supplier"
255,Softbank,1981,>1000,68.76,Masayoshi Son,Japan,Tokyo,"IT, Internet, Software & Services"
256,Kirin,1885,>1000,68.73,Yoshinori Isozaki,Japan,Tokyo,"Food, Soft Beverages, Alcohol & Tobacco (including Agriculture Production)"
257,LEGO,1932,>1000,68.72,Niels B. Christiansen,Denmark,Billund,Packaged Goods
258,Asian Development Bank,1966,>1000,68.69,Masatsugu Asakawa,Philippines,Manila,Banking and Financial Services
259,Futaba,1948,>1000,68.65,Motoaki Arima,Japan,Tokyo,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
260,MatsukiyoCocokara & Co,2021,>1000,68.64,Kiyoo Matsumoto,Japan,Tokyo,Retail and Wholesale
261,Singapore Telecommunications,1879,>1000,68.62,Kuan Moon Yuen,Singapore,Singapore,"Telecommunications Services, Cable Supplier"
262,Bandai Namco,1955,>1000,68.51,Masaru Kawaguchi,Japan,Tokyo,Media & Advertising
263,Tech Mahindra,1986,>1000,68.42,Anish Shah,India,Mumbai,"IT, Internet, Software & Services"
264,Sapporo,1876,>1000,68.39,Hiroyuki Nose,Japan,Tokyo,"Food, Soft Beverages, Alcohol & Tobacco (including Agriculture Production)"
265,Fast Retailing,1949,>1000,68.33,Tadashi Yanai,Japan,Yamaguchi,Retail and Wholesale
266,Costco Wholesale,1983,>1000,68.32,Ron M. Vachris,United States,Issaquah,Retail and Wholesale
267,Renault,1898,>1000,68.29,Luca de Meo,France,Boulogne-Billancourt,Automotive (Automotive and Suppliers)
268,Astellas Pharma,2005,>1000,68.27,Kenji Yasukawa,Japan,Tokyo,Drugs & Biotechnology
269,CBM,1983,>1000,68.26,Roy Chiang,Japan,Tokyo,"IT, Internet, Software & Services"
270,Mercuries & Associates,1986,>1000,68.24,Hsiang Li Chen,Taiwan,Taipei,Insurance
271,Henkel,1876,>1000,68.15,Carsten Knobel,Germany,Düsseldorf,Packaged Goods
272,Bharti Airtel,1995,>1000,68.15,Sharat Sinha,India,New Delhi,"Telecommunications Services, Cable Supplier"
273,Grundfos,1945,>1000,68.1,Poul Due Jensen,Denmark,Bjerringbro,"Engineering, Manufacturing"
