rank,company,founded,employees,score,ceo,state,hq,industry
197,Grupa PKP,2001,"50,001 - 100,000",67.30,Krzysztof Mamiński,Mazovia,Warszawa,Transportation and Logistics
198,Netto,1995,"5,001 - 10,000",67.27,Janusz Stroka,West Pomerania,Kobylanka,Retail
199,Comarch,1993,>250,67.17,Janusz Filipiak,Lesser Poland,Kraków,"IT, Internet, Software"
200,MPK-Łódź,1898,"1,001 - 5,000",67.14,Zbigniew Papierski,Łódź,Łódź,Transportation and Logistics
201,MPK Wrocław,1945,"1,001 - 5,000",67.14,Dariusz Łopuszyński,Lower Silesia,Wrocław,Transportation and Logistics
202,IKEA,1991,"10,001 - 50,000",67.14,Wojciech Waligóra,Multiple Locations,Multiple Locations,Retail
203,Andrewex,1988,>250,67.13,Sebastian Paradowski,Multiple Locations,Multiple Locations,Production and Processing of Raw and Building Materials
204,Saint-Gobain,2002,"5,001 - 10,000",66.96,Joanna Czynsz-Piechowiak,Mazovia,Warszawa,Production and Processing of Raw and Building Materials
205,Trans Polonia,2004,201 - 500,66.95,Dariusz Cegielski,Pomerania,Tczew,Transportation and Logistics
206,Danwood,1995,>250,66.86,Jarosław K. Jurak,Podlaskie,Bielsk Podlaski,Construction
207,Adecco,1996,"10,001 - 50,000",66.80,Anna Wicha,Mazovia,Warszawa,Business Services
208,Uniwersytet Jana Kochanowskiego w Kielcach,1969,"1,001 - 5,000",66.66,Stanisław Głuszek,Holy Cross,Kielce,Education and Research
209,Jerónimo Martins,1995,"50,001 - 100,000",66.66,Pedro Soares Dos Santos,Greater Poland,Kostrzyn,Retail
210,Grupa PSB,1998,"10,001 - 50,000",66.65,Mirosław Lubarski,Holy Cross,Wełecz,Wholesale
211,Lewiatan,1994,"10,001 - 50,000",66.64,Robert Rękas,Kuyavia-Pomerania,Włocławek,Retail
212,Grupa Kęty,1953,"5,001 - 10,000",66.64,Dariusz Mańko,Lesser Poland,Kęty,Production and Processing of Raw and Building Materials
213,DFM,2001,"1,001 - 5,000",66.57,Roman Dariusz Kołakowski,Warmia-Masuria,Dobre Miasto,Durable Consumer Goods
214,CCC,1999,"5,001 - 10,000",66.46,Dariusz Miłek,Lower Silesia,Polkowice,"Clothing, Accessories, Sports Equipment (Production and Trade)"
215,Nestlé,1993,"1,001 - 5,000",66.44,Mark Schneider,Mazovia,Warszawa,FMCG
216,Dealz,2017,>250,66.37,Marcin Langowski,Greater Poland,Poznań,Retail
217,New Yorker,2009,>250,66.35,Friedrich Knapp,Greater Poland,Poznań,"Clothing, Accessories, Sports Equipment (Production and Trade)"
218,Medicover,1994,>250,66.33,John Stubbington,Mazovia,Warszawa,Healthcare and Social
219,Bank Polskiej Spółdzielczości,1991,"501 - 1,000",66.21,Artur Adamczyk,Mazovia,Warszawa,Banks and Financial Services
220,ERBUD,1990,"1,001 - 5,000",66.21,Dariusz Grzeszczak,Mazovia,Warszawa,Construction
221,Hunters,1991,>250,66.21,Piotr Żyłkowski,Mazovia,Warszawa,Business Services
