rank,company,founded,employees,score,ceo,state,hq,industry
73,WongPartnership LLP,1992,"5,001 - 10,000",7.66,NG Wai King,Singapore,Singapore,Professional Services
74,Microsoft,1975,"1,001 - 5,000",7.65,Satya Nadella,Singapore,Singapore,"IT, Internet, Software & Services"
75,GovTech,2016,>200,7.65,Ping Soon Kok,Singapore,Singapore,Government Services
76,Government of Singapore Investment Corporation (GIC),1981,>200,7.64,Lim Chow Kiat,Singapore,Singapore,Banking and Financial Services
77,Advanced Micro Devices (AMD),1969,>200,7.64,Dr. Lisa Su,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
78,National Healthcare Group,2000,"10,001 - 50,000",7.64,Prof Philip Choo,Singapore,Singapore,Healthcare & Social
79,Pontiac Land,1961,>200,7.64,David Tsang,Singapore,Singapore,Real Estate
80,Maxi-Cash Financial Services,2008,>200,7.64,Kean Ng,Singapore,Singapore,Banking and Financial Services
81,Bengawan Solo,1979,>200,7.63,Anastasia Tjendri-Liew,Singapore,Singapore,"Food, Soft Beverages, Alcohol & Tobacco"
82,Roche Singapore,1973,>200,7.62,Severin Schwan,Singapore,Singapore,Drugs & Biotechnology
83,Medtronic,1949,"5,001 - 10,000",7.61,Geoff Martha,Singapore,Singapore,Health Care Equipment & Services
84,Boeing,1916,>200,7.60,David L Calhoun,Singapore,Singapore,Aerospace & Defense
85,SAP,1972,>200,7.60,Christian Klein,Singapore,Singapore,"IT, Internet, Software & Services"
86,Teambuild Construction,1992,"1,001 - 5,000",7.60,Seow Seng Wie,Singapore,Singapore,Construction
87,Bangkok Bank Singapore,1975,>200,7.59,Chartsiri Sophonpanich,Singapore,Singapore,Banking and Financial Services
88,Sunray Woodcraft Construction,1987,>200,7.57,Connie Wu,Singapore,Singapore,Construction
89,Koh Brothers Group,1966,>200,7.57,Koh Keng Siang,Singapore,Singapore,Construction
90,CTC Global,1972,>200,7.55,Ichiro Tsuge,Singapore,Singapore,"IT, Internet, Software & Services"
91,Healthway Medical Group,1990,>200,7.55,Khor Chin Kee,Singapore,Singapore,Healthcare & Social
92,GlaxoSmithKline (GSK),1715,"1,001 - 5,000",7.54,Emma Walmsley,Singapore,Singapore,Drugs & Biotechnology
93,H&M Hennes & Mauritz,1947,>200,7.53,Helena Helmersson,Singapore,Singapore,"Clothing, Shoes, Sports Equipment"
94,Metro,1957,>200,7.53,Yip Hoong Mun,Singapore,Singapore,Retail and Wholesale
95,COURTS Singapore,1973,>200,7.53,Hiroshi Nojima,Singapore,Singapore,Retail and Wholesale
96,Apar Technologies,2006,>200,7.52,Sai Sudhakar,Singapore,Singapore,"IT, Internet, Software & Services"
97,Great Eastern,1908,>200,7.51,Khor Hock Seng,Singapore,Singapore,Insurance
98,3M,1966,>200,7.51,Mike Roman,Singapore,Singapore,"Engineering, Manufacturing"
99,Temasek,1974,>200,7.49,Dilhan Pillay Sandrasegara,Singapore,Singapore,Banking and Financial Services
100,Dell,1984,"1,001 - 5,000",7.48,Michael Dell,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
101,Dairy Farm International,1886,>200,7.48,Choo Peng Chee,Singapore,Singapore,"Food, Soft Beverages, Alcohol & Tobacco"
102,Health Promotion Board (HPB),2001,>200,7.47,Zee Yoong Kang,Singapore,Singapore,Government Services
